core_english1,GS1603,GS1601
core_english2,GS2652
core_writing,GS1531,GS1513,GS1532,GS1511,GS1533,GS1512
HUS,GS3601,GS3622,GS3502,GS2630,GS2506,GS3662,GS2507,GS2505,GS3626,GS3604,GS2602,GS2614,GS2616,GS3801,GS2618,GS2601,GS2627,GS3623,GS3625,GS2611,GS2615,GS3901,GS3504,GS2522,GS3803,GS3621,GS2544,GS2613,GS2509,GS2622,GS2603,GS2628,GS3602,GS2512,GS3501,GS2629,GS2501,GS2814,GS2524,GS2623,GS3802,GS2604,GS3603,GS3624,GS2523,GS2525,GS2503,GS2626,GS2511,GS2625,GS2621,GS2521,GS2526,GS2612,GS2510
PPE,GS2733,GS3663,GS2743,GS2787,GS3762,GS2661,GS2701,GS2750,GS3763,GS3753,GS2788,GS2766,GS2765,GS2726,GS2763,GS4762,GS2747,GS4741,GS3661,GS2707,GS3721,GS4761,GS2742,GS2724,GS2708,GS2751,GS2728,GS2831,GS3632,GS2732,GS2833,GS2705,GS2735,GS2730,GS3751,GS2704,GS2748,GS2762,GS2706,GS2729,GS2803,GS2784,GS2834,GS2620,GS2734,GS2764,GS2785,GS2832,GS3764,GS2709,GS2761,GS2783,GS2727,GS3752,GS2731,GS2786,GS2752,GS2725,GS3861,GS2781,GS3631,GS2703,GS3633,GS2812,GS2782,GS2702,GS2736,GS2835
other_humanity,GS2931,GS2541,GS2933,GS2791,GS2817,GS2793,GS2543,GS2913,GS2808,GS2544,GS2818,GS2819,GS2821,GS2912,GS2804,GS2816,GS2822,GS2792,GS2810,GS3566,GS2932,GS2815,GS2911,GS2542
software,GS1490
core_math1,GS1011,GS1001
core_math2,GS2002,GS2004,GS2001,GS2013
core_science,GS1401,GS1301,GS1302,GS1103,GS1101,GS1203,GS1201,GS1303
core_experiment,GS1211,GS1311,GS1111
freshman_seminar,GS9301,GS1901
physics_core,PS3101,PS2103,PS3104,PS3106,PS3103,PS2101,PS3107,PS2102,PS3105
physics_elective,PS3205,PS3203,PS4204,PS2202,PS4207,PS4214,PS2201,PS3202,PS4211,PS4216,PS4213,PS3206,PS4206,PS4215,PS4212,PS4202,PS4208,PS4210,PS4203,PS4205,PS4209
chemical_core,CH3106,CH2101,CH2103,CH3105,CH2102,CH3102,CH2104,CH2105,CH3103,CH3107,CH3104
chemical_elective,CH3205,CH4220,CH4223,CH4221,CH4218,CH4212,CH4205,CH4213,CH2201,CH4219,CH2106,CH3207,CH4216,CH4222,CH3204,CH3202,CH4211,CH4215
biology_core,BS3112,BS3101,BS2101,BS2102,BS3105,BS3113,BS3111
biology_elective,BS3201,BS4207,BS4212,BS4205,BS4211,BS4213,BS4201,BS3202,BS4218,BS4204,BS4215,BS4202,BS4206,BS4214,BS4216,BS2201,BS4217,BS3204,BS3205
eecs_core,EC3102,EC3101
eecs_elective,EC2205,EC4206,EC3212,EC4211,EC4214,EC3214,EC4207,EC3207,EC4208,EC3102,EC3213,EC4217,EC3202,EC4204,EC4209,EC3216,EC3204,EC3208,EC4216,EC2206,EC4202,EC3206,EC2202,EC2203,EC4210,EC2204,EC4302,EC4219,EC4212,EC3218,EC4301,EC4215,EC4213,EC2201,EC4218,EC2105,EC3217,EC4205,EC3215,EC4203
mechanics_core,MC2100,MC2103,MC2101,MC3212,MC3103,MC3105,MC4101,MC2102
mechanics_elective,MC4216,MC4219,MC3202,MC4208,MC4205,MC3211,MC4211,MC4217,MC4204,MC3201,MC3205,MC4202,MC4206,MC3209,MC4214,MC3207,MC4221,MC4212,MC3210,MC4218,MC4209,MC3203,MC3206,MC4210,MC4213,MC3204,MC4215,MC3208
material_core,MA3105,MA2102,MA3104,MA2101,MA3101,MA2103,MA3102,MA2104
material_elective,MA4219,MA4216,MA4221,MA3204,MA4203,MA3210,MA3207,MA3202,MA4209,MA3205,MA3201,MA4214,MA4218,MA2202,MA4208,MA2201,MA4215,MA4210,MA4201,MA3208,MA4220,MA3209,MA4217,MA4211,MA4206,MA3203,MA4204,MA4207,MA4213,MA4205,MA4212,MA3211,MA4202
environment_core,EV4105,EV3101,EV4107,EV4106,EV3106,EV3105,EV3111,EV3104
environment_elective,EV4225,EV3208,EV4201,EV2209,EV4217,EV2211,EV3218,EV3217,EV3205,EV3213,EV4216,EV4223,EV3216,EV3219,EV4224,EV4206,EV2208,EV3215,EV4205,EV3214,EV4213,EV4218,EV4222,EV4214,EV4202,EV4210,EV4203,EV2210,EV4215,EV4211,EV4204,EV4221,EV4212,EV4209,EV3220
research,9102,9103,9104
others1_core,UC0901
others1_optional,UC0202,UC0201,UC0301,UC0203
others3,GS4018,GS2403,GS3001,GS1471,GS2402,GS2407,GS1606,GS4015,GS2406,GS2451,GS1605,GS2655,GS1431,GS2202,GS1451,GS2201,GS2006,GS2809,GS2806,GS3015,GS4006,GS2304,GS2473,GS2206,GS4019,GS2435,GS4016,GS4003,GS3651,GS4009,GS3301,GS2472,GS1104,GS1212,GS4017,GS4008,GS2102,GS2302,GS4010,GS2401,GS4007,GS3311,GS4005,GS1102,GS1112,GS1402,GS2408,GS2811,GS2471,GS1321,GS2007,GS2103,GS2654,GS1491,GS4301,GS1202,GS2311,GS3012,GS2651,GS2434,GS2653,GS2204,GS2104,GS4004,GS1204,GS2303,GS4002,others3,MM4008,MM4017,MM3001,MM3012,MM4018,MM2006,MM4010,MM4007,MM4003,MM2007,MM4002,MM2004,MM2002,MM4009,MM4005,MM2011,MM4016,MM4004,MM3015,MM2001,MM4006,MM4019,MM4015,others3,MD2101,MD4601,MD4501,MD4302,MD4502,MD4303,MD4101,MD4301,MD4102,others3,CT41__,CT4201,CT4302,CT4503,CT4301,CT4101,CT2505,CT2504,CT4506,CT4502,CT4504,CT2501,CT2502,CT4501,CT2503,CT2506,CT45__,others3,ET4102,ET4201,ET4303,ET2101,ET4305,ET4306,ET4501,ET4302,ET4304,others3,IR4204,IR2202,IR3204,IR4201,IR4206,IR4208,IR2201,IR3203,IR4209,IR4203,IR4202,IR3201,IR3202,IR4205,IR4207
