core_math1,GS1011,GS1001
core_math2,GS1002,GS2004,GS2002,GS2001,GS2013
core_science,GS1201,GS1203,GS1401,GS1301,GS1302,GS1101,GS1303
core_experiment,GS1211,GS1111,GS1311
core_english1,GS1601,GS1603
core_english2,GS2652,GS1604
core_writing,GS1512,GS1513,GS1531,GS1511,GS1532,GS1533,GS1534
freshman_seminar,GS9301,GS1901
HUS,GS2618,GS2508,GS3502,GS2622,GS2512,GS2814,GS2503,GS2612,GS2630,GS2521,GS2526,GS2501,GS3621,GS2623,GS3601,GS3662,GS2506,GS2615,GS3603,GS3625,GS2626,GS3801,GS3624,GS2509,GS3604,GS2601,GS2524,GS2511,GS3803,GS2510,GS2523,GS3623,GS2629,GS3622,GS2602,GS2522,GS2504,GS2525,GS3802,GS2544,GS2628,GS2507,GS3602,GS3504,GS2627,GS3901,GS2625,GS3501,GS2613,GS2505,GS2621,GS2603,GS2614,GS2616,GS3626,GS2611,GS2604
PPE,GS2786,GS2733,GS2708,GS2752,GS2702,GS4761,GS2785,GS2747,GS3721,GS3752,GS2763,GS3663,GS2834,GS2703,GS2620,GS3761,GS2706,GS2831,GS2750,GS2728,GS2832,GS2783,GS2812,GS2788,GS3762,GS2784,GS2724,GS3632,GS3764,GS2743,GS2764,GS3861,GS2742,GS2835,GS3763,GS3633,GS2704,GS2707,GS2730,GS2781,GS2732,GS2762,GS2734,GS3751,GS2765,GS2709,GS2731,GS2803,GS2736,GS4741,GS3631,GS2661,GS2735,GS2782,GS2748,GS2726,GS2833,GS4762,GS2705,GS3753,GS2729,GS2761,GS2725,GS2751,GS3661,GS2727,GS2787,GS2701,GS2766
other_humanity,GS2792,GS2822,GS2808,GS2913,GS2933,GS3601,GS2816,GS2601,GS3566,GS2602,GS2810,GS2932,GS2818,GS2544,GS3602,GS2543,GS2791,GS2912,GS2821,GS2817,GS2804,GS2911,GS2793,GS2603,GS2541,GS2819,GS2815,GS2542,GS3901,GS2931
others3,GS2403,GS4003,GS2432,GS3311,GS4801,GS2202,GS4301,GS2201,GS2204,GS2407,GS2820,GS2007,GS2304,GS3007,GS2402,GS4016,GS1451,GS4009,GS2103,GS2006,GS2303,GS3009,GS4010,GS2653,GS2806,GS2408,GS4018,GS4005,GS2473,GS4004,GS2231,GS1605,GS2654,GS3002,GS1212,GS2835,GS1204,GS2401,GS4471,GS1491,GS2651,GS2811,GS2302,GS1112,GS3006,GS1471,GS1606,GS1402,GS3012,GS2431,GS4007,GS4017,GS2311,GS2655,GS4002,GS2451,GS2809,GS4006,GS1102,GS4015,GS2434,GS2471,GS2472,GS3804,GS3015,GS3004,GS3301,GS2102,GS2433,GS2104,GS3001,GS3651,GS1104,GS1431,GS2406,GS2435,GS2206,GS2474,GS2836,GS4019,GS4008,GS1202,GS1321,others3,MM2007,MM4003,MM4004,MM2006,MM4002,MM4017,MM4018,MM4008,MM4019,MM4007,MM2004,MM4005,MM4015,MM3015,MM4006,MM2002,MM3012,MM2011,MM3001,MM4009,MM2001,MM4016,MM4010,others3,MD4502,MD4303,MD4101,MD2101,MD4501,MD4301,MD4601,MD4302,MD4102,others3,CT2503,CT4502,CT2501,CT2505,CT4504,CT4301,CT2506,CT4101,CT4302,CT4503,CT41__,CT4506,CT45__,CT2502,CT4201,CT4501,CT2504,others3,ET4201,ET4302,ET2101,ET4102,ET4305,ET4501,ET4304,ET4303,ET4306,others3,IR4204,IR4205,IR2201,IR4208,IR4201,IR4206,IR4203,IR4209,IR3203,IR4202,IR3204,IR2202,IR4207,IR3201,IR3202,physics_prerequisite,PS2101,PS2102,chemical_prerequisite,CH2103,CH2102,biology_prerequisite,BS2102,BS2101,eecs_prerequisite,EC2201,EC2203,EC2202,mechanics_prerequisite,MC2100,MC2101
physics_core,PS3105,PS3107,PS3103,PS2101,PS2102,PS2103,PS3104,PS3106,PS3101
physics_elective,PS3203,PS2201,PS4209,PS4211,PS3206,PS3205,PS4213,PS4215,PS4210,PS4208,PS4207,PS4204,PS3202,PS4203,PS4212,PS4202,PS4205,PS2202,PS4214,PS3201,PS4206,PS4216
chemical_core,CM3102,CM3105,CM3103,CM3104,CM3106,chemical_core,CH2105,CH2104,CH3107,CH3104,CH2103,CH2102,CH3106,CH3105,CH3102,CH3103,CH2101
chemical_elective,CM3206,CM3205,CM3204,CM3202,CM4219,CM4212,CM4218,CM4205,CM4216,CM4215,CM4211,CM4213,chemical_elective,CH4219,CH4223,CH4213,CH3205,CH4221,CH4216,CH3207,CH3204,CH4211,CH4212,CH4222,CH3202,CH4215,CH2201,CH4220,CH4218,CH2106,CH4205
biology_core,BS2102,BS3105,BS3101,BS2101,BS3112,BS3113,BS3111
biology_elective,BS4207,BS4217,BS4206,BS4218,BS4213,BS4212,BS2201,BS4211,BS4216,BS4208,BS3202,BS4202,BS4201,BS4205,BS3201,BS3205,BS4215,BS4210,BS3204,BS4214,BS4204
eecs_core,EC3102,EC3101
eecs_elective,EC4208,EC4211,EC4210,EC3204,EC3218,EC3102,EC4202,EC3214,EC4217,EC3212,EC3202,EC4215,EC4207,EC4205,EC4209,EC2204,EC3216,EC2206,EC3207,EC4216,EC3213,EC4203,EC3203,EC4302,EC4214,EC3215,EC4213,EC4218,EC4204,EC4219,EC2203,EC3208,EC4301,EC2201,EC4212,EC3206,EC2202,EC2105,EC4206,EC3217,EC2205
mechanics_core,MC2103,MC4101,MC2101,MC3103,MC2100,MC3105,MC3101,MC2102,MC3212,MC3102
mechanics_elective,MC4210,MC3207,MC3209,MC4215,MC3202,MC4216,MC4213,MC4219,MC3208,MC4206,MC4208,MC3204,MC4209,MC4211,MC3203,MC3205,MC3206,MC3210,MC4202,MC4203,MC3211,MC4201,MC4218,MC4214,MC4221,MC4212,MC4204,MC4207,MC3201,MC4205,MC4217
material_core,MA3101,MA3104,MA2101,MA2102,MA3102,MA3105,MA2103,MA2104
material_elective,MA3202,MA4202,MA4204,MA4208,MA4210,MA4213,MA4217,MA2202,MA3205,MA3209,MA4220,MA3211,MA4211,MA4203,MA4206,MA4216,MA3208,MA4218,MA3204,MA4214,MA3201,MA3203,MA4207,MA4215,MA2201,MA4201,MA4209,MA4212,MA4221,MA4205,MA4219,MA3210,MA3207
environment_core,EV3111,EV4106,EV3103,EV3102,EV4105,EV3101,EV3106,EV3104,EV3105,EV4107
environment_elective,EV3202,EV4216,EV4221,EV3220,EV4212,EV3208,EV4211,EV3219,EV3215,EV3206,EV4225,EV2208,EV4206,EV4213,EV4218,EV2210,EV4224,EV3213,EV3203,EV3216,EV4203,EV4217,EV4223,EV4202,EV4210,EV3218,EV3205,EV2209,EV4215,EV3217,EV2211,EV4204,EV4209,EV4222,EV3204,EV3214,EV4205,EV4214,EV3201,EV4201
research,9102,9103,9104
others1,UC0901,UC0201,UC0202,UC0203,UC0301
